marital status,course,daytime/evening attendance,displaced,debtor,tuition fees up to date,gender,scholarship holder,unemployment rate,gdp,target
Single,Animation,Daytime,1,0,1,Male,0,10.8,1.74,Dropout
Single,Tourism,Daytime,1,0,0,Male,0,13.9,0.79,Graduate
Single,Communication,Daytime,1,0,0,Male,0,10.8,1.74,Dropout
Single,Journalism,Daytime,1,0,1,Female,0,9.4,-3.12,Graduate
Married,Social Service,Evening,0,0,1,Female,0,13.9,0.79,Graduate
Married,Management,Evening,0,1,1,Male,0,16.2,-0.92,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,15.5,-4.06,Graduate
Single,Tourism,Daytime,1,0,0,Male,0,15.5,-4.06,Dropout
Single,Social Service,Daytime,0,0,1,Female,1,16.2,-0.92,Graduate
Single,Social Service,Daytime,1,1,0,Female,0,8.9,3.51,Dropout
Single,Marketing,Daytime,1,0,1,Female,0,13.9,0.79,Graduate
Single,Nursing,Daytime,1,0,1,Female,1,12.7,-1.7,Graduate
Single,Basic Education,Daytime,1,0,1,Female,0,12.7,-1.7,Dropout
Single,Tourism,Daytime,1,0,1,Female,1,8.9,3.51,Graduate
Single,Veterinary,Daytime,1,0,1,Female,1,10.8,1.74,Graduate
Single,Journalism,Daytime,1,0,1,Female,0,15.5,-4.06,Dropout
Single,Social Service,Daytime,1,0,1,Female,0,10.8,1.74,Enrolled
Single,Nursing,Daytime,1,0,1,Female,0,15.5,-4.06,Graduate
Single,Equiniculture,Daytime,1,0,1,Female,0,10.8,1.74,Graduate
Single,Basic Education,Daytime,1,0,1,Female,0,16.2,-0.92,Enrolled
Single,Animation,Daytime,0,0,1,Female,1,11.1,2.02,Graduate
Single,Oral Hygiene,Daytime,1,0,1,Female,0,12.7,-1.7,Enrolled
Single,Nursing,Daytime,1,0,1,Female,0,12.7,-1.7,Graduate
Single,Marketing,Daytime,1,0,1,Female,1,11.1,2.02,Graduate
Single,Nursing,Daytime,0,0,1,Female,0,11.1,2.02,Graduate
